Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"FoodMazaPos.exe","41,807",0,100.00,0.00,"",
0,"FoodMazaPos.Program.Main","35,334",0,84.52,0.00,"FoodMazaPos.exe",
1,"[System.Windows.Forms.ni.dll]","35,334","13,781",84.52,32.96,"System.Windows.Forms.ni.dll",
2,"FoodMazaPos.Cashier.button1_Click","12,125",1,29.00,0.00,"FoodMazaPos.exe",
3,"[System.Drawing.ni.dll]","9,989",29,23.89,0.07,"System.Drawing.ni.dll",
4,"[winspool.drv]","9,804",0,23.45,0.00,"winspool.drv",
5,"[winspool.drv]","9,804",0,23.45,0.00,"winspool.drv",
6,"[winspool.drv]","9,798",0,23.44,0.00,"winspool.drv",
7,"[comdlg32.dll]","9,665",0,23.12,0.00,"comdlg32.dll",
8,"[comdlg32.dll]","9,639",0,23.06,0.00,"comdlg32.dll",
9,"[user32.dll]","9,593",955,22.95,2.28,"user32.dll",
10,"[comdlg32.dll]","4,659",0,11.14,0.00,"comdlg32.dll",
11,"[comdlg32.dll]","4,473",0,10.70,0.00,"comdlg32.dll",
12,"[comdlg32.dll]","3,781",1,9.04,0.00,"comdlg32.dll",
13,"[comdlg32.dll]","2,800",0,6.70,0.00,"comdlg32.dll",
14,"[shell32.dll]","1,959",325,4.69,0.78,"shell32.dll",
15,"[dui70.dll]",950,1,2.27,0.00,"dui70.dll",
16,"[dui70.dll]",946,4,2.26,0.01,"dui70.dll",
17,"[dui70.dll]",935,4,2.24,0.01,"dui70.dll",
18,"[dui70.dll]",815,2,1.95,0.00,"dui70.dll",
19,"[dui70.dll]",630,5,1.51,0.01,"dui70.dll",
20,"[dui70.dll]",602,8,1.44,0.02,"dui70.dll",
21,"[dui70.dll]",578,11,1.38,0.03,"dui70.dll",
22,"[shell32.dll]",430,16,1.03,0.04,"shell32.dll",
23,"[comdlg32.dll]",305,1,0.73,0.00,"comdlg32.dll",
24,"[comdlg32.dll]",264,0,0.63,0.00,"comdlg32.dll",
25,"[comdlg32.dll]",238,0,0.57,0.00,"comdlg32.dll",
26,"[comdlg32.dll]",213,0,0.51,0.00,"comdlg32.dll",
27,"[shell32.dll]",103,85,0.25,0.20,"shell32.dll",
28,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",14,0,0.03,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",11,0,0.03,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",10,0,0.02,0.00,"clbcatq.dll",
35,"[clbcatq.dll]",7,0,0.02,0.00,"clbcatq.dll",
36,"[KernelBase.dll]",4,4,0.01,0.01,"KernelBase.dll",
36,"[clbcatq.dll]",3,0,0.01,0.00,"clbcatq.dll",
37,"[KernelBase.dll]",3,3,0.01,0.01,"KernelBase.dll",
35,"[KernelBase.dll]",3,3,0.01,0.01,"KernelBase.dll",
34,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
33,"[KernelBase.dll]",2,2,0.00,0.00,"KernelBase.dll",
33,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
28,"[tiptsf.dll]",4,0,0.01,0.00,"tiptsf.dll",
29,"[tiptsf.dll]",4,0,0.01,0.00,"tiptsf.dll",
30,"[tiptsf.dll]",2,0,0.00,0.00,"tiptsf.dll",
31,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
31,"[tiptsf.dll]",1,0,0.00,0.00,"tiptsf.dll",
32,"[tiptsf.dll]",1,0,0.00,0.00,"tiptsf.dll",
33,"[KernelBase.dll]",1,1,0.00,0.00,"KernelBase.dll",
30,"[win32u.dll]",2,2,0.00,0.00,"win32u.dll",
27,"[combase.dll]",68,24,0.16,0.06,"combase.dll",
28,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
29,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
30,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
31,"[clbcatq.dll]",44,0,0.11,0.00,"clbcatq.dll",
32,"[clbcatq.dll]",40,1,0.10,0.00,"clbcatq.dll",
33,"[clbcatq.dll]",38,0,0.09,0.00,"clbcatq.dll",
34,"[clbcatq.dll]",36,0,0.09,0.00,"clbcatq.dll",
35,"[clbcatq.dll]",28,0,0.07,0.00,"clbcatq.dll",
36,"[KernelBase.dll]",18,18,0.04,0.04,"KernelBase.dll",
36,"[clbcatq.dll]",10,0,0.02,0.00,"clbcatq.dll",
37,"[KernelBase.dll]",9,9,0.02,0.02,"KernelBase.dll",
37,"[msvcrt.dll]",1,1,0.00,0.00,"msvcrt.dll",
35,"[KernelBase.dll]",8,8,0.02,0.02,"KernelBase.dll",
