Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[advapi32.dll]","[advapi32.dll]",2,2,0.00,0.00,
"Caller","[advapi32.dll]","[msi.dll]",2,2,0.00,0.00,
"Root","[apphelp.dll]","[apphelp.dll]",7,0,0.02,0.00,
"Caller","[apphelp.dll]","[apphelp.dll]",6,0,0.01,0.00,
"Caller","[apphelp.dll]","[windows.storage.dll]",6,0,0.01,0.00,
"Callee","[apphelp.dll]","[apphelp.dll]",6,0,0.01,0.00,
"Callee","[apphelp.dll]","[ntdll.dll]",7,7,0.02,0.02,
"Root","[atlthunk.dll]","[atlthunk.dll]","1,559",2,3.73,0.00,
"Caller","[atlthunk.dll]","[comctl32.dll]",682,0,1.63,0.00,
"Caller","[atlthunk.dll]","[ntdll.dll]",53,1,0.13,0.00,
"Caller","[atlthunk.dll]","[shell32.dll]",172,0,0.41,0.00,
"Caller","[atlthunk.dll]","[shlwapi.dll]",1,0,0.00,0.00,
"Caller","[atlthunk.dll]","[user32.dll]",782,1,1.87,0.00,
"Caller","[atlthunk.dll]","[win32u.dll]",1,0,0.00,0.00,
"Callee","[atlthunk.dll]","[duser.dll]","1,556",0,3.72,0.00,
"Callee","[atlthunk.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[audiodev.dll]","[audiodev.dll]",1,0,0.00,0.00,
"Caller","[audiodev.dll]","[audiodev.dll]",1,0,0.00,0.00,
"Caller","[audiodev.dll]","[windows.storage.dll]",1,0,0.00,0.00,
"Callee","[audiodev.dll]","[audiodev.dll]",1,0,0.00,0.00,
"Callee","[audiodev.dll]","[setupapi.dll]",1,0,0.00,0.00,
"Root","[audiodev.dll]","[audiodev.dll]",3,0,0.01,0.00,
"Caller","[audiodev.dll]","[audiodev.dll]",3,0,0.01,0.00,
"Caller","[audiodev.dll]","[windows.storage.dll]",3,0,0.01,0.00,
"Callee","[audiodev.dll]","[audiodev.dll]",3,0,0.01,0.00,
"Callee","[audiodev.dll]","[audiodev.dll]",2,0,0.00,0.00,
"Callee","[audiodev.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[audiodev.dll]","[audiodev.dll]",2,0,0.00,0.00,
"Caller","[audiodev.dll]","[audiodev.dll]",2,0,0.00,0.00,
"Callee","[audiodev.dll]","[setupapi.dll]",2,0,0.00,0.00,
"Root","[cfgmgr32.dll]","[cfgmgr32.dll]",586,586,1.40,1.40,
"Caller","[cfgmgr32.dll]","[DevDispItemProvider.dll]",83,83,0.20,0.20,
"Caller","[cfgmgr32.dll]","[devobj.dll]",4,4,0.01,0.01,
"Caller","[cfgmgr32.dll]","[PlayToDevice.dll]",499,499,1.19,1.19,
"Root","[clbcatq.dll]","[clbcatq.dll]","1,891",97,4.52,0.23,
"Caller","[clbcatq.dll]","[clbcatq.dll]","1,891",97,4.52,0.23,
"Caller","[clbcatq.dll]","[combase.dll]",646,0,1.55,0.00,
"Caller","[clbcatq.dll]","[comctl32.dll]",9,0,0.02,0.00,
