Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[System.Windows.Forms.ni.dll]","13,781",32.96,0x6951B841,0,0,0,0,
"[System.Drawing.ni.dll]","2,678",6.41,0x6D189FAF,0,0,0,0,
"[clr.dll]","2,085",4.99,0x737CF4DB,0,0,0,0,
"[user32.dll]","1,037",2.48,0x758587EB,0,0,0,0,
"[comctl32.dll]",820,1.96,0x70D35196,0,0,0,0,
"[KernelBase.dll]",750,1.79,0x75E201EE,0,0,0,0,
"[KernelBase.dll]",578,1.38,0x75E2184E,0,0,0,0,
"[windows.storage.dll]",572,1.37,0x752A5CFD,0,0,0,0,
"[shell32.dll]",552,1.32,0x76913F08,0,0,0,0,
"[cfgmgr32.dll]",534,1.28,0x765B8423,0,0,0,0,
"FoodMazaPos.Cashier.aAAToolStripMenuItem_Click",504,1.21,0x08EC1F82,"1,595",13,"1,595",30,
"[mscorlib.ni.dll]",481,1.15,0x72640B4B,0,0,0,0,
"[windows.storage.dll]",475,1.14,0x7527741C,0,0,0,0,
"[dui70.dll]",467,1.12,0x5EE74658,0,0,0,0,
"[combase.dll]",452,1.08,0x76413817,0,0,0,0,
"FoodMazaPos.InvoiceDetails.LoadGridView",343,0.82,0x0CD560DA,39,13,39,34,
"[shell32.dll]",337,0.81,0x7691E711,0,0,0,0,
"FoodMazaPos.ExportToExcel.LoadGridView1",331,0.79,0x09E6A9E5,47,13,47,34,
"[DropboxExt.26.0.dll]",293,0.70,0x5DCE02D7,0,0,0,0,
"[KernelBase.dll]",274,0.66,0x75E12E4C,0,0,0,0,
"FoodMazaPos.Inventory.label_Stock_Click",274,0.66,0x09E0D67C,30,13,30,48,
"[dui70.dll]",273,0.65,0x5EE75080,0,0,0,0,
"[duser.dll]",267,0.64,0x5EDCA067,0,0,0,0,
"FoodMazaPos.Cashier.bBBBToolStripMenuItem_Click",262,0.63,0x09E0E422,"1,719",13,"1,719",23,
"[ntdll.dll]",254,0.61,0x779228ED,0,0,0,0,
"FoodMazaPos.Stocks.LoadGridView1",249,0.60,0x08EC606C,301,13,301,34,
"FoodMazaPos.Cashier.Loadproducts",241,0.58,0x030AE718,682,33,682,68,
"FoodMazaPos.Stocks.btnUpdate_Click",228,0.55,0x08EC6A15,241,21,241,54,
"[dui70.dll]",221,0.53,0x5EE8AA71,0,0,0,0,
"FoodMazaPos.Inventory.label_Product_Click",221,0.53,0x09E0DB6C,35,13,35,48,
"FoodMazaPos.Inventory.label_Category_Click",209,0.50,0x09E0DCFC,40,13,40,48,
"[win32u.dll]",202,0.48,0x76592D6C,0,0,0,0,
"FoodMazaPos.Login.btnLogin_Click",188,0.45,0x0CD5E3E5,52,21,52,33,
"[win32u.dll]",182,0.44,0x76592BCC,0,0,0,0,
"[shell32.dll]",180,0.43,0x768C8FFD,0,0,0,0,
"[dui70.dll]",163,0.39,0x5EE75831,0,0,0,0,
"FoodMazaPos.Inventory.label_Report_Click",162,0.39,0x09E0DE8C,45,13,45,48,
"[windows.storage.dll]",157,0.38,0x75277456,0,0,0,0,
"[KernelBase.dll]",154,0.37,0x75E1F396,0,0,0,0,
"[windows.storage.dll]",147,0.35,0x75277596,0,0,0,0,
"[windows.storage.dll]",146,0.35,0x7521AAAC,0,0,0,0,
"[SHCore.dll]",143,0.34,0x774FC387,0,0,0,0,
"[windows.storage.dll]",142,0.34,0x751C9D4B,0,0,0,0,
"[windows.storage.dll]",140,0.33,0x75274A83,0,0,0,0,
"FoodMazaPos.Cashier.Loadcategory",140,0.33,0x030AF2E0,485,33,485,69,
"[ntdll.dll]",131,0.31,0x7FFB069B566E,0,0,0,0,
"FoodMazaPos.Cashier.eXPORTTOEXCELToolStripMenuItem_Click",122,0.29,0x09FD7CF2,"1,731",13,"1,731",27,
"[IPHLPAPI.DLL]",118,0.28,0x74CC9119,0,0,0,0,
"[rpcrt4.dll]",118,0.28,0x761E4964,0,0,0,0,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",116,0.28,0x0CD56AAA,121,17,121,38,
"[System.Data.ni.dll]",115,0.28,0x6508C9A0,0,0,0,0,
"[dui70.dll]",110,0.26,0x5EE83388,0,0,0,0,
"[KernelBase.dll]",109,0.26,0x75E21E4A,0,0,0,0,
"[KernelBase.dll]",106,0.25,0x75E1FAC9,0,0,0,0,
"FoodMazaPos.Cashier.Timercheckingstock",106,0.25,0x0CD53CED,193,21,193,40,
"[KernelBase.dll]",105,0.25,0x75E12943,0,0,0,0,
"[KernelBase.dll]",104,0.25,0x75E201BE,0,0,0,0,
"FoodMazaPos.Cashier.label3Click",102,0.24,0x0CD579F3,582,33,582,68,
"FoodMazaPos.Cashier.btnRefresh_Click",97,0.23,0x0CD53D79,"1,491",13,"1,491",28,
"FoodMazaPos.Inventory.label_Dashboard_Click",93,0.22,0x09E0D58C,25,13,25,48,
"FoodMazaPos.Cashier.Dispose",90,0.22,0x09E6C29D,20,13,20,37,
"FoodMazaPos.Stocks.LoadGridView1",90,0.22,0x08EC5FB7,293,13,293,28,
"[windows.storage.dll]",89,0.21,0x752F710D,0,0,0,0,
"FoodMazaPos.Cashier.Timercheckingstock",89,0.21,0x0CD53CAB,188,17,189,96,
"[comctl32.dll]",87,0.21,0x70D24302,0,0,0,0,
"[shell32.dll]",87,0.21,0x769C20FA,0,0,0,0,
"[windows.storage.dll]",84,0.20,0x751949BB,0,0,0,0,
"[System.Data.ni.dll]",82,0.20,0x6508C64A,0,0,0,0,
"[shell32.dll]",77,0.18,0x768C8BFF,0,0,0,0,
"[windows.storage.dll]",77,0.18,0x75265E7B,0,0,0,0,
"FoodMazaPos.Cashier.sEARCHINVOICESToolStripMenuItem_Click",77,0.18,0x0CD53EBA,"1,701",13,"1,701",23,
