Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"System.Windows.Forms.ni.dll","35,335","19,552",84.52,46.77,
"windows.storage.dll","5,032","3,570",12.04,8.54,
"KernelBase.dll","3,059","3,048",7.32,7.29,
"System.Drawing.ni.dll","12,676","2,716",30.32,6.50,
"user32.dll","9,607","2,676",22.98,6.40,
"shell32.dll","4,125","2,094",9.87,5.01,
"clr.dll","2,091","2,091",5.00,5.00,
"comctl32.dll","3,380",955,8.08,2.28,
"cfgmgr32.dll",586,586,1.40,1.40,
"combase.dll","1,253",580,3.00,1.39,
"win32u.dll",524,523,1.25,1.25,
"mscorlib.ni.dll",501,501,1.20,1.20,
"dui70.dll","3,813",470,9.12,1.12,
"ntdll.dll","1,589",397,3.80,0.95,
"System.Data.ni.dll",341,341,0.82,0.82,
"uxtheme.dll",638,202,1.53,0.48,
"rpcrt4.dll",191,190,0.46,0.45,
"propsys.dll",175,141,0.42,0.34,
"msvcrt.dll",137,137,0.33,0.33,
"ntdll.dll",131,131,0.31,0.31,
"IPHLPAPI.DLL",244,125,0.58,0.30,
"clbcatq.dll","1,891",97,4.52,0.23,
"gdi32.dll",85,85,0.20,0.20,
"ExplorerFrame.dll","8,982",82,21.48,0.20,
"System.Windows.Forms.DataVisualization.ni.dll",79,79,0.19,0.19,
"dfshim.dll",938,46,2.24,0.11,
"kernel32.dll",39,39,0.09,0.09,
"duser.dll","4,030",35,9.64,0.08,
"ole32.dll",74,27,0.18,0.06,
"SHCore.dll",788,22,1.88,0.05,
"msctf.dll",21,21,0.05,0.05,
"gdi32full.dll",20,20,0.05,0.05,
"thumbcache.dll",871,20,2.08,0.05,
"StructuredQuery.dll",26,19,0.06,0.05,
"nsi.dll",16,16,0.04,0.04,
"DropboxExt.26.0.dll",915,14,2.19,0.03,
"dfdll.dll",286,13,0.68,0.03,
"msftedit.dll",174,11,0.42,0.03,
"mscoree.dll",9,9,0.02,0.02,
"PlayToDevice.dll",966,9,2.31,0.02,
"wkscli.dll",8,8,0.02,0.02,
"comdlg32.dll","9,844",7,23.55,0.02,
"safemon.dll",57,7,0.14,0.02,
"ucrtbase.dll",8,7,0.02,0.02,
"WindowsCodecs.dll",7,7,0.02,0.02,
"xmllite.dll",9,7,0.02,0.02,
"FoodMazaPos.exe","35,335",6,84.52,0.01,
"msi.dll",137,6,0.33,0.01,
"sechost.dll",6,6,0.01,0.01,
"shlwapi.dll",370,6,0.89,0.01,
"Windows.Storage.Search.dll",8,5,0.02,0.01,
"WMVCORE.DLL",9,5,0.02,0.01,
"DevDispItemProvider.dll",93,4,0.22,0.01,
"dlnashext.dll",663,4,1.59,0.01,
"OneCoreUAPCommonProxyStub.dll",7,3,0.02,0.01,
"System.ni.dll",3,3,0.01,0.01,
"winspool.drv","10,335",3,24.72,0.01,
"advapi32.dll",2,2,0.00,0.00,
"atlthunk.dll","1,559",2,3.73,0.00,
"ntshrui.dll",6,2,0.01,0.00,
"policymanager.dll",89,2,0.21,0.00,
"Windows.Globalization.dll",4,2,0.01,0.00,
"d3d11.dll",1,1,0.00,0.00,
"dcomp.dll",1,1,0.00,0.00,
"dhcpcsvc.dll",101,1,0.24,0.00,
"MMDevAPI.dll",77,1,0.18,0.00,
"mpr.dll",28,1,0.07,0.00,
"msvcp110_win.dll",1,1,0.00,0.00,
"netprofm.dll",210,1,0.50,0.00,
"npmproxy.dll",1,1,0.00,0.00,
"oleaut32.dll",1,1,0.00,0.00,
"twinapi.appcore.dll",34,1,0.08,0.00,
"twinapi.dll",7,1,0.02,0.00,
"wininet.dll",1,1,0.00,0.00,
"wow64cpu.dll",1,1,0.00,0.00,
"apphelp.dll",7,0,0.02,0.00,
"audiodev.dll",4,0,0.01,0.00,
"cldapi.dll",1,0,0.00,0.00,
"DataExchange.dll",22,0,0.05,0.00,
"davclnt.dll",1,0,0.00,0.00,
"devobj.dll",5,0,0.01,0.00,
"dhcpcsvc6.dll",19,0,0.05,0.00,
"drprov.dll",1,0,0.00,0.00,
"dxgi.dll",1,0,0.00,0.00,
"edputil.dll",3,0,0.01,0.00,
"mdnsNSP.dll",2,0,0.00,0.00,
"networkexplorer.dll",1,0,0.00,0.00,
"ntlanman.dll",9,0,0.02,0.00,
"oleacc.dll",8,0,0.02,0.00,
"PhotoMetadataHandler.dll",1,0,0.00,0.00,
"PortableDeviceApi.dll",8,0,0.02,0.00,
"provsvc.dll",1,0,0.00,0.00,
"setupapi.dll",10,0,0.02,0.00,
"tiptsf.dll",7,0,0.02,0.00,
"Windows.StateRepositoryPS.dll",2,0,0.00,0.00,
"wpdshext.dll",51,0,0.12,0.00,
