Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,3580,"FoodMazaPos.exe",0.00,"242,852.50","242,852.50",
"Thread",0,10840,"Unknown",0.00,"242,829.91","242,829.90",
"Thread",1,1628,"Unknown",0.01,"52,368.65","52,368.65",
"Thread",2,12048,"Unknown",0.01,"52,368.65","52,368.64",
"Thread",3,2828,"Unknown",0.01,"242,700.80","242,700.79",
"Thread",4,6680,"Unknown",0.01,"242,700.30","242,700.29",
"Thread",5,12300,"Unknown",0.01,"242,700.78","242,700.77",
"Thread",6,12464,"Unknown",0.01,"242,700.80","242,700.79",
"Thread",7,13396,"Unknown",0.01,"242,700.76","242,700.75",
"Thread",8,11412,"Unknown",0.01,"242,700.72","242,700.71",
"Thread",9,12104,"Unknown",0.01,"242,700.38","242,700.37",
"Thread",10,2860,"Unknown",0.02,"242,700.30","242,700.29",
"Thread",11,1172,"Unknown",0.02,"52,368.65","52,368.64",
"Thread",12,10196,"Unknown",0.02,"242,700.72","242,700.70",
"Thread",13,2112,"Unknown",0.02,"242,700.67","242,700.65",
"Thread",14,1896,"Unknown","7,615.14","27,626.38","20,011.24",
"Thread",15,11012,"Unknown","32,539.99","52,604.08","20,064.10",
"Thread",16,9172,"Unknown","54,921.81","112,370.20","57,448.39",
"Thread",17,14220,"Unknown","55,554.87","242,700.64","187,145.77",
"Thread",18,11768,"Unknown","56,668.59","70,578.82","13,910.23",
"Thread",19,13696,"Unknown","58,551.46","70,541.46","11,990.00",
"Thread",20,7456,"Unknown","58,929.51","112,370.10","53,440.59",
"Thread",21,11076,"Unknown","58,932.87","112,369.87","53,437.00",
"Thread",22,13476,"Unknown","59,475.56","59,518.21",42.65,
"Thread",23,1220,"Unknown","59,514.12","94,102.13","34,588.01",
"Thread",24,13208,"Unknown","59,542.00","242,700.64","183,158.64",
"Thread",25,14252,"Unknown","60,035.25","242,700.61","182,665.36",
"Thread",26,7620,"Unknown","60,063.58","242,700.61","182,637.03",
"Thread",27,7700,"Unknown","60,065.61","242,700.57","182,634.95",
"Thread",28,10812,"Unknown","60,506.49","133,322.06","72,815.57",
"Thread",29,13036,"Unknown","60,509.58","242,702.07","182,192.49",
"Thread",30,10848,"Unknown","60,731.25","242,700.56","181,969.30",
"Thread",31,10572,"Unknown","61,040.13","242,700.55","181,660.42",
"Thread",32,172,"Unknown","61,047.83","242,700.51","181,652.69",
"Thread",33,2996,"Unknown","61,211.79","242,700.51","181,488.72",
"Thread",34,13224,"Unknown","61,499.75","242,700.31","181,200.55",
"Thread",35,7628,"Unknown","62,062.39","242,701.43","180,639.05",
"Thread",36,7716,"Unknown","71,423.69","75,762.07","4,338.39",
"Thread",37,9264,"Unknown","72,511.92","75,727.98","3,216.06",
"Thread",38,9924,"Unknown","72,844.28","72,871.64",27.37,
"Thread",39,12284,"Unknown","107,045.64","151,691.84","44,646.20",
"Thread",40,7396,"Unknown","157,463.48","177,479.57","20,016.10",
"Thread",41,9364,"Unknown","158,320.09","162,976.20","4,656.11",
"Thread",42,11752,"Unknown","159,526.74","162,938.50","3,411.76",
"Thread",43,1544,"Unknown","159,874.03","159,904.31",30.28,
"Thread",44,8312,"Unknown","160,474.67","225,825.13","65,350.45",
"Thread",45,2032,"Unknown","161,050.29","202,370.86","41,320.57",
"Thread",46,1356,"Unknown","161,054.35","202,370.91","41,316.56",
"Thread",47,13056,"Unknown","161,054.73","202,370.86","41,316.13",
"Thread",48,9796,"Unknown","163,798.07","167,726.24","3,928.16",
"Thread",49,7788,"Unknown","164,947.47","167,692.00","2,744.52",
"Thread",50,3560,"Unknown","165,306.79","165,331.95",25.16,
"Thread",51,4152,"Unknown","183,736.83","203,741.02","20,004.19",
"Thread",52,10912,"Unknown","183,737.03","185,239.98","1,502.95",
"Thread",53,10888,"Unknown","183,738.17","203,739.28","20,001.11",
"Thread",54,6436,"Unknown","183,738.54","203,740.22","20,001.69",
"Thread",55,1928,"Unknown","194,339.30","242,700.46","48,361.16",
"Thread",56,9156,"Unknown","233,043.93","242,700.44","9,656.51",
"Thread",57,10980,"Unknown","233,044.07","234,547.59","1,503.52",
"Thread",58,1628,"Unknown","241,123.34","242,700.38","1,577.04",
